Vendor,VendorItemNumber,VendorItemNameOnTheInvoice,ItemNameInTheSystemR365,PurchasingUofM
Action Sales,PANLID-SS-1/6-N,1/6 - Hotel Pan Lid - Notched,EQUIP SML - 1/6 Hotel Pan Lid Notched - Action Sales - 1/CT,Each
Action Sales,WINC-SCF-6S,Fryer Skimmer,EQUIP SML - Skimmer Fryer - Action Sales - 1/CT,Each
Action Sales,COOP-25HP-01-1,Ambient Thermometer,EQUIP SML - Ambient Thermometer - Action Sales - 1/CT,Each
Action Sales,WINC-LDI-4,Ladle - 4 oz,EQUIP SML - Ladle 4oz - Action Sales - 1/CT,Each
Action Sales,N VOLL-47402,Standard Round  Bowl Dish,Standard Round Bowl Dish - Action Sales,Each
Action Sales,SANJ-KP196GN,Soap bucket - greem,EQUIP SML - Soap Bucket Green - Action Sales - 1/CT,Each
Action Sales,77521,Brazier - meats Vollrath,EQUIP LRG Brazier Meat - Action Sales - 1/CT,Each
Action Sales,BUNPANCOVER-1/2,EQUIP SML - Half Sheet Pan Lid - Action Sales - 1/CT,EQUIP SML - Half Sheet Pan Lid - Action Sales - 1/CT,Each
Action Sales,ABCO-CT08006,Brush/Squeegee handle,EQUIP SML - Brush Squeegee Handle - Action Sales - 1/CT,Each
Action Sales,LSGE-A007,Rice Paddle,EQUIP SML - Rice Paddle - Action Sales - 1/CT,Each
Action Sales,26300.0001,water boiler Bunn,EQUIP LRG Water Boiler - Action Sales - 1/CT,Each
Action Sales,PANLID-SS-FS-SD,Full - Hotel Pan Lid - Solid,EQUIP SML - Full Hotel Pan Lid Solid - Action Sales - 1/CT,Each
Action Sales,47402,Ugly Scoop - 1/2 oz,EQUIP SML - Ugly Scoop 1/2oz - Action Sales - 1/CT,Each
Action Sales,WINC-ALO-16,16 Qt Colander Winco,EQUIP SML Colander 16Qt - Action Sales - 1/CT,Each
Action Sales,PANLID-SS-1/2-S,1/2 - Hotel Pan Lid - Solid,EQUIP SML - 1/2 Hotel Pan Lid Solid - Action Sales - 1/CT,Each
Action Sales,PANLID-SS-1/3-N,1/3 - Hotel Pan Lid - Notched,EQUIP SML - 1/3 Hotel Pan Lid Notched - Action Sales - 1/CT,Each
Action Sales,COOP-DFP450W,Thermometer,EQUIP SML - Thermometer - Action Sales - 1/CT,Each
Action Sales,BUNPAN-AL-FULL,Full Sheet Pan,EQUIP SML - Full Sheet Pan - Action Sales - 1/CT,Each
