VendorName,PossibleAlternativeName,AutoApprove,ToleranceAmount,LineItemEntry,AccountCode,DefaultAddress,Location
A&R Glassworks,A&R Glassworks,F,0,F,5501,1011 Park City,1011 Park City
A1 Disposal,A-1 Disposal,F,0,F,5950,9004 Central Kitchen,9004 Central Kitchen
A1 Disposal,A-1,F,0,F,5950,9004 Central Kitchen,9004 Central Kitchen
A1 Pumping,A-1 Pumping,F,0,F,5775,,Based on location in invoice
AAFES,,F,0,F,5810,,"1034 HillAFB, 1046 LukeAFB, 1037 Mountian HomeAFB, or 1038 Fort Huachuca "
Aardvark Waste Services,Aardvark Waste Services,F,0,F,5960,,1016 Washington
ACE Recycling & Disposal,ACE Recycling,F,0,F,5950,1031 Cedar Hills,1031 Cedar Hills
Action Sales,Action Sales,F,0,T,1615,,Based on location in invoice
Alliance Fire & Safety,Alliance Fire & Safety,F,0,F,5780,,1016 Washington or 1003 Draper
Alpha Brothers Glass,Alpha Brothers Glass,F,0,F,5501,1011 Park City,1011 Park City
American United,American United,F,0,F,7013,9001 Corporate,9001 Corporate
Ampleo,Ampleo,F,0,F,7600,9001 Corporate,9001 Corporate
Analytical Resource Laboratories,Analytical Resource Laboratories,F,0,F,7650,9004 Central Kitchen,9004 Central Kitchen
Anderson Express Cleaners,Anderson Express Cleaners,F,0,F,7008,9001 Corporate ,9001 Corporate 
Arizona Department of Revenue,Arizona Department of Revenue,F,0,F,7012,9001 Corporate,9001 Corporate
Article,Article,F,0,F,5510,1021 Saratoga Springs,1021 Saratoga Springs
Arvada Prime 1,Arvada Prime,F,0,F,6395,1013 Arvada ,1013 Arvada 
ASAP Freight,,F,0,F,5655,9003 Marketing Fund,9003 Marketing Fund
Auraria Higher Education Center,,F,0,F,7570,9001 Corporate,9001 Corporate
Auto-Chlor System,Auto-chor,F,0,F,5685,,"1015 Highland Square, 1014 Aurora, or 1013 Arvada "
Auto-Chlor System of Las Vegas,"Auto-Chlor System of Las Vegas, Inc",F,0,F,5685,1016 Washington,1016 Washington
B&B Western Properties,,F,0,F,6395,,Based on Locations in Invoice
Backdoor Piping & HVAC Inc,Backdoor Piping and HVAC,F,0,F,5501,,Based on Locations in Invoice
Base Exchange,,F,0,F,5810,1034 HillAFB,1034 HillAFB
Bear Creek High School,,F,0,F,7570,9001 Corporate,9001 Corporate
Beck's Sanitation Inc,BSI,F,0,F,5775,,Based on Locations in Invoice
Birdeye,,F,0,F,7001,9003 Marketing Fund,9003 Marketing Fund
Bonc N Bonk,,F,0,F,5655,9004 Central Kitchen,9004 Central Kitchen
bopsim,,F,0,F,ignore,,
Boss Fire Protection,,F,0,F,5780,,Based on location in invoice
Boss Hood Cleaning - SF Ahchee Enterprises,Boss Hood Cleaning,F,0,F,5765,,Based on location in invoice
Bountiful Department of Utilities,,F,0,F,5900,1036 Bountiful,1036 Bountiful
Brookfield Properties,,F,0,F,6395,1005 Fashion Place ,1005 Fashion Place 
Brotherhood Cleaning,Brotherhood Cleaning,F,0,F,5675,,If address is 7450 W 52nd Ave Arvada then 1013 else 1014 Aurora
Brothers Window Washing,Brothers 2 Vjindow Lashing,F,0,F,5501,1005 Fashion Place ,1005 Fashion Place 
BT Customs,,F,0,F,1635,,Based on location in invoice
BTX Global Logistics,,F,0,F,5655,9004 Central Kitchen,9004 Central Kitchen
Bull Market Development LC,Bull Market Development,F,0,F,6395,1020 Logan,1020 Logan
BYU,,F,0,F,6370,1000 Truck and Concessions,1000 Truck and Concessions
