Vendor,VendorItemNumber,VendorItemNameOnTheInvoice,ItemNameInTheSystemR365,PurchasingUofM,AmountsMatch
Coca Cola of Southern Utah,,16 OZ MNSTR ENERGY 1/24 CAN,NA BEV Monster - Energy - 24/16oz,Case - 24/Can (16 oz-fl),TRUE
Coca Cola of Southern Utah,,16 OZ MNSTR JUICE PAC PUNCH 24,NA BEV Monster - Juice Pacific Punch - 24/16oz,Case - 24/Can (16 oz-fl),TRUE
Coca Cola of Southern Utah,,16 OZ MNSTR ZERO ULT 24PK,NA BEV Monster - Ultra Zero - 24/16oz,Case - 24/Can (16 oz-fl),TRUE
Coca Cola of Southern Utah,,2.5 G COKE ZERO SUGAR BIB SYRU,NA BEV BIB Coke - Zero - 1/2.5GAL,BIB (2.5 Gallon),TRUE
Coca Cola of Southern Utah,,20 OZ DASANI 1/24 PACK BOTTLE,NA BEV Bottle Dasani - 24/20oz,Case - 24/Bottle (20 oz-fl),TRUE
Coca Cola of Southern Utah,,20 OZ DIET COKE 1/24 PK BOTTLE,NA BEV Bottle Coke - Diet - 24/20oz,Case - 24/Bottle (20 oz-fl),TRUE
Coca Cola of Southern Utah,,20 OZ FANTA ORANGE 1/24 PK BT,NA BEV Bottle Fanta - Orange - 24/20oz,Case - 24/Bottle (20 oz-fl),TRUE
Coca Cola of Southern Utah,,20 OZ SPRITE 1/24 PACK BOTTLE,NA BEV Bottle Sprite - 24/20oz,Case - 24/Bottle (20 oz-fl),TRUE
Coca Cola of Southern Utah,,20 OZ COKE CLASSIC 1/24 PK BT,NA BEV Bottle Coke - 24/20oz,Case - 24/Bottle (20 oz-fl),TRUE
Coca Cola of Southern Utah,,20 OZ COKE ZERO SUGAR 1/24 PK,NA BEV Bottle Coke - Zero - 24/20oz,Case - 24/Bottle (20 oz-fl),TRUE
Coca Cola of Southern Utah,,5 GAL DIET COKE BIB SYRUP,NA BEV BIB Coke - Diet - 1/5GAL,BIB (5 Gallon),TRUE
Coca Cola of Southern Utah,,5 GAL COKE CLASSIC BIB SYRUP,NA BEV BIB Coke - 1/5GAL,BIB (5 Gallon),TRUE
Coca Cola of Southern Utah,,5 GAL DR PEPPER BIB SYRUP,NA BEV BIB Dr Pepper - 1/5GAL,BIB (5 Gallon),TRUE
Coca Cola of Southern Utah,,5 GAL DIET DR PEPPER BIB SYRUP,NA BEV BIB Dr Pepper - Diet - 1/5GAL,BIB (5 Gallon),TRUE
Coca Cola of Southern Utah,,20# CO 2 GAS- SD UN1013,CHEM SUPP CO2 - 20LB - 1/EA,CT,TRUE
Coca Cola of Southern Utah,,20 OZ  DR PEPPER 1/24 PK BOTTLE,NA BEV Bottle Dr Pepper - 24/20oz,Case - 24/Bottle (20 oz-fl),TRUE
Coca Cola of Southern Utah,,5 GAL MM LEMONADE BIB SYRUP,NA BEV BIB Lemonade - 1/5GAL,BIB (5 Gallon),TRUE
Coca Cola of Southern Utah,,20 OZ DIET DR PEPPER 1/24PK BT,NA BEV Bottle Dr Pepper - Diet - 24/20oz,Case - 24/Bottle (20 oz-fl),TRUE
Coca Cola of Southern Utah,,2.5GA PA MTN BLAST BIB SYRUP,NA BEV BIB Powerade - Mountain Blast - 1/2.5GAL,BIB (2.5 Gallon),TRUE
Coca Cola of Southern Utah,,5 GAL SPRITE BIB SYRUP,NA BEV BIB Sprite - 1/5GAL,BIB (5 Gallon),TRUE
Coca Cola - Swire,,"Fanta Orange Soda Bag in box, 2.5 Gallons",NA BEV BIB Fanta - Orange - 1/2.5GAL,BIB (2.5 Gallon),TRUE
Coca Cola - Swire,,UT Tax,TAX,Each,TRUE
Coca Cola - Swire,,50#CYL X1 SH_CO2 FULL#1,CHEM SUPP CO2 - Full - 1/EA,CT,TRUE
Coca Cola - Swire,,50#CYL X1 SH_CO2 FULL#1,CHEM SUPP CO2 - Full - 1/EA,CT,TRUE
Coca Cola - Swire,,CYL EMTY 50LB CO2 #0,CHEM SUPP CO2 - Empty Credit - 1/EA,CT,TRUE
Coca Cola - Swire,,20ZPET24LS Pibb Xtra,NA BEV Bottle Pibb Xtra - 24/20oz,Case - 24/Bottle (20 oz-fl),TRUE
