Vendor,VendorItemNumber,VendorItemNameOnTheInvoice,ItemNameInTheSystemR365,PurchasingUofM,SplitUofM,,
"JFC International, Inc",401,Ajinomoto MSG Plastic Bag,GROC Ajinomoto - MSG - 1/50LB,Case - 120/Pack (5 oz-wt),Pack (5 oz-wt),,
"JFC International, Inc",426,Ajinomoto MSG Plastic Bag,GROC Ajinomoto - MSG - 1/50LB,Case - 16/Pack (3 LB),Pack (3 LB),,
"JFC International, Inc",793,Ajinomoto MSG in Plastic Bag 48/16z,GROC Ajinomoto - MSG - 48/16oz,Case - 48/Pack (16 oz-wt),Pack (16 oz-wt),,
"JFC International, Inc",1951,Marusho Shiitake-C,ZZZ PROD *Mushroom Shiitake,Case - 5 LB,,,
"JFC International, Inc",3068,AJINOMOTO-MSG,GROC Ajinomoto - MSG - 1/50LB,Case - 50 LB,,,
"JFC International, Inc",3533,Nishiki Salted Mirin Standard,GROC  Mirin - 1/19L,Pack (18 LT),,,
"JFC International, Inc",5110,Tokusen Edamame Ryokko,PROD Edamame - 20/14.1oz,Case - 20/Pack (14.1 oz-wt),Pack (14.1 oz-wt),,
"JFC International, Inc",10125,Sea Tangle,ZZZ GROC *Noodle Sea Tangle,Case - 10/Pack (2 Oz-wt),,,
"JFC International, Inc",13439,JB Takoyaki Jumbo,ZZZ GROC *Takoyaki,Case - 10/Pack (18 CT),,,
"JFC International, Inc",13440,JB Takoyaki Jumbo 45PC,ZZZ GROC *Takoyaki,Case - 45/CT,,,
"JFC International, Inc",20895,Yamasa Red Kamaboko Fzn,ZZZ GROC *Fish Cake Kamaboko,Case - 24/Pack (6 oz-wt),,,
"JFC International, Inc",20988,Daiei Chuka Salad,ZZZ PROD *Seaweed Salad,Case - 4/Pack (4.4 LB),,,
"JFC International, Inc",21105,Myojo Nama Ramen #20w Chijire,ZZZ GROC *Noodle Ramen JFC Myojo Nama #20W - 30/5.30oz,Case - 30/Pack (5.30 oz-wt),Pack (5.30 oz-wt),,
"JFC International, Inc",22058,Riken FZN Pork Paitan,GROC Base Paitan - 2/11LB,Case - 2/Pack (11 LB),Pack (11 LB),,GROC Base Paitan - 2/11LB or 10/2.2LB
"JFC International, Inc",22130,WP Seaweed Salad No MSG KOR,ZZZ PROD *Seaweed Salad,Case - 4/Pack (4.4 LB),,,
"JFC International, Inc",25100,WP Edamame Soybeans,ZZZ PROD *Edamame - 20/1LB,Case - 20/Pack (1 LB),Pack (1 LB),,
"JFC International, Inc",25602,Otafuku Otajoy Okonomi SCE,ZZZ GROC *Sauce Okonomi,Case - 6/Pack (78.7 oz-wt),,,
"JFC International, Inc",25972,WP Prem Edamame Sai Indo,ZZZ PROD Edamame - 10/2.2 LB,Case - 10/Pack (2.2 LB),,,
"JFC International, Inc",26458,Sangaria Ramune Orange,NA BEV Ramune - Orange - 18/6.76oz,Case - 18/Bottle (6.76 OZ-fl),,,
