Vendor,VendorItemNumber,VendorItemNameOnTheInvoice,ItemNameInTheSystemR365,PurchasingUofM
The WEBstaurant Sore,177W50,EQUIP SML - Table Top Warmer - Webstaurant - 1/CT,EQUIP SML - Table Top Warmer - Webstaurant - 1/CT,Each
The WEBstaurant Sore,4071ozpspwh,EQUIP SML - 1 oz Yellow Corn Scoop - Webstaurant - 1/CT,EQUIP SML - 1 oz Yellow Corn Scoop - Webstaurant - 1/CT,Each
The WEBstaurant Sore,190FB1355,EQUIP SML - Fryer Baskets - Webstaurant - 1/CT,EQUIP SML - Fryer Baskets - Webstaurant - 1/CT,Each
The WEBstaurant Sore,605gbv18,EQUIP SML - Sticky traps for Fly Catcher - Webstaurant - 1/CT,EQUIP SML - Sticky traps for Fly Catcher - Webstaurant - 1/CT,Each
The WEBstaurant Sore,271361410C14,Dustpan,EQUIP SML - Dustpan - Webstaurant - 1/CT,Each
The WEBstaurant Sore,2081522,No Smok sign,EQUIP SML - No Smoke Sign - Webstaurant - 1/CT,Each
The WEBstaurant Sore,764KD36TBLX,EQUIP LRG Lobby Trash Cans - Webstaurant - 1/CT,EQUIP LRG Lobby Trash Cans - Webstaurant - 1/CT,Each
The WEBstaurant Sore,167ra08c48,EQUIP SML - Dish Apron - Webstaurant - 1/CT,EQUIP SML - Dish Apron - Webstaurant - 1/CT,Each
The WEBstaurant Sore,712BB100,EQUIP SML - Bag Cutter / Squeezer - Webstaurant - 1/CT,EQUIP SML - Bag Cutter / Squeezer - Webstaurant - 1/CT,Each
The WEBstaurant Sore,40720155GN,Kimchi cutting board - green,EQUIP SML - Kimchi Cutting Board Green - Webstaurant - 1/CT,Each
The WEBstaurant Sore,40720155WH,Cheese cutting board - white,EQUIP SML - Cheese Cutting Board White - Webstaurant - 1/CT,Each
The WEBstaurant Sore,401,Measuring Spoon - 1 tbsp,EQUIP SML - Measuring Spoon 1Tbsp - Webstaurant - 1/CT,Each
